1,エンターテイメント,1
2,音楽,2
3,歌ってみた,2
4,演奏してみた,2
5,踊ってみた,2
6,VOCALOID,2
7,ニコニコインディーズ,2
8,動物,4
9,料理,6
10,自然,4
11,旅行,5
12,スポーツ,8
13,ニコニコ動画講座,14
14,車載動画,3
15,歴史,7
16,科学,9
17,ニコニコ技術部,9
18,ニコニコ手芸部,9
19,作ってみた,9
20,政治,10
21,アニメ,11
22,ゲーム,12
23,東方,12
24,アイドルマスター,12
25,ラジオ,14
26,描いてみた,11
27,例のアレ,14
28,その他,14
29,日記,6
30,R-18,14
