1,映画とアニメ,11,1
2,自動車と乗り物,3,2
3,音楽,2,10
4,ペットと動物,4,15
5,スポーツ,8,17
6,旅行とイベント,5,19
7,ゲーム,12,20
8,ブログ,6,22
9,コメディー,1,23
10,エンターテイメント,1,24
11,ニュースと政治,10,25
12,ハウツーとスタイル,6,26
13,教育,7,27
14,科学と技術,9,28
