1,エンターテイメント
2,音楽
3,自動車・乗り物
4,動物・自然
5,旅行・イベント
6,生活・一般
7,教育
8,スポーツ
9,科学・技術
10,ニュース・政治
11,映画・アニメ
12,ゲーム
13,R-18
14,その他
